mp_backlot,desert,desert,MPUI_BACKLOT,loadscreen_mp_backlot,1,MPUI_DESC_MAP_BACKLOT,compass_overlay_map_blank
mp_bloc,woodland,woodland,MPUI_BLOC,loadscreen_mp_bloc,2,MPUI_DESC_MAP_BLOC,compass_overlay_map_blank
mp_bog,desert,desert,MPUI_BOG,loadscreen_mp_bog,3,MPUI_DESC_MAP_BOG,compass_overlay_map_blank
mp_cargoship,urban,urban,MPUI_CARGOSHIP,loadscreen_mp_cargoship,4,MPUI_DESC_MAP_CARGOSHIP,compass_overlay_map_blank
mp_citystreets,desert,desert,MPUI_CITYSTREETS,loadscreen_mp_citystreets,5,MPUI_DESC_MAP_CITYSTREETS,compass_overlay_map_blank
mp_convoy,desert,desert,MPUI_CONVOY,loadscreen_mp_convoy,6,MPUI_DESC_MAP_CONVOY,compass_overlay_map_blank
mp_countdown,woodland,woodland,MPUI_COUNTDOWN,loadscreen_mp_countdown,7,MPUI_DESC_MAP_COUNTDOWN,compass_overlay_map_blank
mp_crash,desert,desert,MPUI_CRASH,loadscreen_mp_crash,8,MPUI_DESC_MAP_CRASH,compass_overlay_map_blank
mp_crossfire,desert,desert,MPUI_CROSSFIRE,loadscreen_mp_crossfire,9,MPUI_DESC_MAP_CROSSFIRE,compass_overlay_map_blank
mp_farm,woodland,woodland,MPUI_FARM,loadscreen_mp_farm,10,MPUI_DESC_MAP_FARM,compass_overlay_map_blank
mp_overgrown,woodland,woodland,MPUI_OVERGROWN,loadscreen_mp_overgrown,11,MPUI_DESC_MAP_OVERGROWN,compass_overlay_map_blank
mp_pipeline,woodland,woodland,MPUI_PIPELINE,loadscreen_mp_pipeline,12,MPUI_DESC_MAP_PIPELINE,compass_overlay_map_blank
mp_shipment,urban,urban,MPUI_SHIPMENT,loadscreen_mp_shipment,13,MPUI_DESC_MAP_SHIPMENT,compass_overlay_map_blank
mp_showdown,desert,desert,MPUI_SHOWDOWN,loadscreen_mp_showdown,14,MPUI_DESC_MAP_SHOWDOWN,compass_overlay_map_blank
mp_strike,desert,desert,MPUI_STRIKE,loadscreen_mp_strike,15,MPUI_DESC_MAP_STRIKE,compass_overlay_map_blank
mp_vacant,urban,urban,MPUI_VACANT,loadscreen_mp_vacant,16,MPUI_DESC_MAP_VACANT,compass_overlay_map_blank
mp_broadcast,desert,desert,MPUI_BROADCAST,loadscreen_mp_backlot,17,MPUI_DESC_MAP_BROADCAST,compass_overlay_map_blank
mp_crash_snow,desert,desert,MPUI_CRASH_SNOW,loadscreen_mp_crash_snow,18,MPUI_DESC_MAP_CRASH_SNOW,compass_overlay_map_blank
