0,3000,weapon_pistol,WEAPON_BERETTA,beretta,,weapon_m9beretta,PERKS_SEMIAUTOMATIC_WITH_A,silencer,,,
1,3001,weapon_pistol,WEAPON_COLT1911,colt45,,weapon_colt_45,PERKS_SEMIAUTOMATIC_WITH_MEDIUM,silencer,,PERKS_UNLOCKED_AT_LV16,
2,3002,weapon_pistol,WEAPON_USP,usp,,weapon_usp_45,PERKS_SEMIAUTOMATIC_WITH_MEDIUM1,silencer,,,
3,3003,weapon_pistol,WEAPON_DESERTEAGLE,deserteagle,,weapon_desert_eagle,PERKS_SEMIAUTOMATIC_WITH_HIGH,,,PERKS_UNLOCKED_AT_LV43,
4,3004,weapon_pistol,WEAPON_DESERTEAGLEGOLD,deserteaglegold,,weapon_desert_eagle_gold,PERKS_GOLD_PLATED_SEMIAUTOMATIC,,,PERKS_UNLOCKED_AT_LV55,
5,3005,weapon_pistol,,,,,,,,,
6,3006,weapon_pistol,,,,,,,,,
7,3007,weapon_pistol,,,,,,,,,
8,3008,weapon_pistol,,,,,,,,,
9,3009,weapon_pistol,,,,,,,,,
10,3010,weapon_smg,WEAPON_MP5,mp5,,weapon_mp5,PERKS_FULLY_AUTOMATIC_WITH,reflex silencer acog,,,
11,3011,weapon_smg,WEAPON_SKORPION,skorpion,,weapon_skorpion,PERKS_FULLY_AUTOMATIC_WITH1,reflex silencer acog,,,
12,3012,weapon_smg,WEAPON_UZI,uzi,,weapon_mini_uzi,PERKS_FULLY_AUTOMATIC_WITH2,reflex silencer acog,,PERKS_UNLOCKED_AT_LV13,
13,3013,weapon_smg,WEAPON_AK74U,ak74u,,weapon_aks74u,PERKS_FULLY_AUTOMATIC_WITH3,reflex silencer acog,,PERKS_UNLOCKED_AT_LV28,
14,3014,weapon_smg,WEAPON_P90,p90,,weapon_p90,PERKS_FULLY_AUTOMATIC_WITH4,reflex silencer acog,,PERKS_UNLOCKED_AT_LV40,
15,3015,weapon_smg,,,,,,,,,
16,3016,weapon_smg,,,,,,,,,
17,3017,weapon_smg,,,,,,,,,
18,3018,weapon_smg,,,,,,,,,
19,3019,weapon_smg,,,,,,,,,
20,3020,weapon_assault,WEAPON_AK47,ak47,,weapon_ak47,PERKS_FULLY_AUTOMATIC_WITH5,reflex silencer acog gl,,,
21,3021,weapon_assault,WEAPON_M14,m14,,weapon_m14,PERKS_SINGLEFIRE_WITH_HIGH,reflex silencer acog gl,,PERKS_UNLOCKED_AT_LV46,
22,3022,weapon_assault,WEAPON_MP44,mp44,,weapon_mp44,PERKS_FULLY_AUTOMATIC_WITH6,,,PERKS_UNLOCKED_AT_LV52,
23,3023,weapon_assault,WEAPON_G3,g3,,weapon_g3,PERKS_SINGLEFIRE_WITH_A_HIGH,reflex silencer acog gl,,PERKS_UNLOCKED_AT_LV25,
24,3024,weapon_assault,WEAPON_G36C,g36c,,weapon_g36c,PERKS_FULLY_AUTOMATIC_WITH7,reflex silencer acog gl,,PERKS_UNLOCKED_AT_LV37,
25,3025,weapon_assault,WEAPON_M16,m16,,weapon_m16a4,PERKS_SEMIAUTOMATIC_WITH_THREE,reflex silencer acog gl,,,
26,3026,weapon_assault,WEAPON_M4_CARBINE,m4,,weapon_m4carbine,PERKS_FULLY_AUTOMATIC_WITH8,reflex silencer acog gl,,PERKS_UNLOCKED_AT_LV10,
27,3027,weapon_assault,,,,,,,,,
28,3028,weapon_assault,,,,,,,,,
29,3029,weapon_assault,,,,,,,,,
30,3030,weapon_assault,,,,,,,,,
31,3031,weapon_assault,,,,,,,,,
32,3032,weapon_assault,,,,,,,,,
33,3033,weapon_assault,,,,,,,,,
34,3034,weapon_assault,,,,,,,,,
35,3035,weapon_assault,,,,,,,,,
36,3036,weapon_assault,,,,,,,,,
37,3037,weapon_assault,,,,,,,,,
38,3038,weapon_assault,,,,,,,,,
39,3039,weapon_assault,,,,,,,,,
40,3040,weapon_assault,,,,,,,,,
41,3041,weapon_assault,,,,,,,,,
42,3042,weapon_assault,,,,,,,,,
43,3043,weapon_assault,,,,,,,,,
44,3044,weapon_assault,,,,,,,,,
45,3045,weapon_assault,,,,,,,,,
46,3046,weapon_assault,,,,,,,,,
47,3047,weapon_assault,,,,,,,,,
48,3048,weapon_assault,,,,,,,,,
49,3049,weapon_assault,,,,,,,,,
50,3050,weapon_projectile,WEAPON_GRENADE_LAUNCHER,gl,,weapon_gl,PERKS_GRENADE_LAUNCHER_ATTACHMENT,ak47 g3 g36c m16 m4 m14,,,
51,3051,weapon_projectile,,,,,,,,,
52,3052,weapon_projectile,,,,,,,,,
53,3053,weapon_projectile,,,,,,,,,
54,3054,weapon_projectile,,,,,,,,,
55,3055,weapon_projectile,WEAPON_RPG,rpg,2,weapon_rpg,PERKS_PORTABLE_SHOULDERLAUNCHED,,,,
56,3056,weapon_projectile,,,,,,,,,
57,3057,weapon_projectile,,,,,,,,,
58,3058,weapon_projectile,,,,,,,,,
59,3059,weapon_projectile,,,,,,,,,
60,3060,weapon_sniper,WEAPON_DRAGUNOV,dragunov,,weapon_dragunovsvd,PERKS_SEMIAUTOMATIC_SNIPER,acog,,PERKS_UNLOCKED_AT_LV22,
61,3061,weapon_sniper,WEAPON_M40A3,m40a3,,weapon_m40a3,PERKS_BOLTACTION_SNIPER_RIFLE,acog,,,
62,3062,weapon_sniper,WEAPON_BARRETT,barrett,,weapon_barrett50cal,PERKS_SEMIAUTOMATIC_SNIPER1,acog,,PERKS_UNLOCKED_AT_LV49,
63,3063,weapon_sniper,,,,,,,,,
64,3064,weapon_sniper,WEAPON_REMINGTON700,remington700,,weapon_remington700,PERKS_BOLTACTION_SNIPER_RIFLE1,acog,,PERKS_UNLOCKED_AT_LV34,
